step,1-1hit,1-2hit,1-3hit,2-1hit,2-2hit,2-3hit,
294,0.0586,0.0576,0.0566,0.1035,0.0566,0.0566,
295,0.0586,0.0576,0.0566,0.1035,0.0576,0.0566,
296,0.0586,0.0576,0.0566,0.1035,0.0576,0.0566,
297,0.0586,0.0576,0.0566,0.1055,0.0576,0.0566,
298,0.0586,0.0586,0.0576,0.1055,0.0576,0.0576,
299,0.0586,0.0586,0.0576,0.1055,0.0576,0.0576,
300,0.0596,0.0586,0.0576,0.1055,0.0576,0.0576,
301,0.0596,0.0586,0.0576,0.1064,0.0586,0.0576,
302,0.0596,0.0586,0.0576,0.1064,0.0586,0.0576,
303,0.0596,0.0586,0.0576,0.1064,0.0586,0.0576,
304,0.0596,0.0596,0.0586,0.1074,0.0586,0.0586,
305,0.0596,0.0596,0.0586,0.1074,0.0586,0.0586,
306,0.0605,0.0596,0.0586,0.1074,0.0586,0.0586,
307,0.0605,0.0596,0.0586,0.1084,0.0605,0.0586,
308,0.0605,0.0596,0.0586,0.1084,0.0605,0.0586,
309,0.0605,0.0596,0.0586,0.1084,0.0605,0.0586,
310,0.0605,0.0605,0.0596,0.1084,0.0605,0.0605,
311,0.0605,0.0605,0.0596,0.1094,0.0605,0.0605,
312,0.0625,0.0605,0.0596,0.1094,0.0605,0.0605,
313,0.0625,0.0605,0.0596,0.1094,0.0615,0.0605,
314,0.0625,0.0605,0.0596,0.1104,0.0615,0.0605,
315,0.0625,0.0605,0.0596,0.1104,0.0615,0.0605,
316,0.0625,0.0615,0.0605,0.1104,0.0615,0.0615,
317,0.0625,0.0615,0.0605,0.1104,0.0615,0.0615,
318,0.0635,0.0615,0.0605,0.1123,0.0615,0.0615,
319,0.0635,0.0615,0.0605,0.1123,0.0625,0.0615,
320,0.0635,0.0615,0.0605,0.1123,0.0625,0.0615,
321,0.0635,0.0615,0.0605,0.1133,0.0625,0.0615,
322,0.0635,0.0625,0.0615,0.1133,0.0625,0.0625,
323,0.0645,0.0625,0.0615,0.1133,0.0625,0.0625,
324,0.0645,0.0625,0.0615,0.1143,0.0625,0.0625,
325,0.0645,0.0625,0.0615,0.1143,0.0635,0.0625,
326,0.0645,0.0625,0.0615,0.1143,0.0635,0.0625,
327,0.0645,0.0625,0.0635,0.1152,0.0635,0.0635,
328,0.0645,0.0645,0.0635,0.1152,0.0635,0.0635,
329,0.0654,0.0645,0.0635,0.1152,0.0635,0.0635,
330,0.0654,0.0645,0.0635,0.1162,0.0635,0.0635,
331,0.0654,0.0645,0.0635,0.1162,0.0645,0.0635,
332,0.0654,0.0645,0.0635,0.1162,0.0645,0.0635,
333,0.0654,0.0645,0.0645,0.1172,0.0645,0.0645,
334,0.0654,0.0654,0.0645,0.1172,0.0645,0.0645,
335,0.0664,0.0654,0.0645,0.1172,0.0645,0.0645,
336,0.0664,0.0654,0.0645,0.1172,0.0664,0.0645,
337,0.0664,0.0654,0.0645,0.1191,0.0664,0.0645,
338,0.0664,0.0654,0.0645,0.1191,0.0664,0.0645,
